ev,Budaörs,Dunaharaszti,Dunakeszi,Gyál,Göd,Gödöllő,Szentendre,Szigetszentmiklós,Vác,Érd
2015,223,141,666,58,118,316,237,451,468,335
2016,196,121,754,49,148,320,213,493,469,365
2017,192,137,692,68,156,279,232,506,488,365
2018,176,125,596,47,139,306,224,470,463,332
2019,175,129,552,70,130,245,200,476,404,361
2020,126,97,481,59,101,214,156,316,350,316
2021,129,93,471,43,111,188,180,265,351,322
2022,118,94,265,24,75,149,100,213,272,198
2023,119,69,301,25,51,156,110,210,294,197
2024,159,126,549,32,94,200,175,392,434,271
