ev,nev,total_ar,total_db
2015,Budaörs,315,223
2016,Budaörs,371,196
2017,Budaörs,432,192
2018,Budaörs,513,176
2019,Budaörs,624,175
2020,Budaörs,675,126
2021,Budaörs,721,129
2022,Budaörs,902,118
2023,Budaörs,955,119
2024,Budaörs,993,159
2015,Dunaharaszti,201,141
2016,Dunaharaszti,233,121
2017,Dunaharaszti,269,137
2018,Dunaharaszti,341,125
2019,Dunaharaszti,399,129
2020,Dunaharaszti,433,97
2021,Dunaharaszti,540,93
2022,Dunaharaszti,654,94
2023,Dunaharaszti,767,69
2024,Dunaharaszti,829,126
2015,Dunakeszi,256,666
2016,Dunakeszi,302,754
2017,Dunakeszi,356,692
2018,Dunakeszi,427,596
2019,Dunakeszi,532,552
2020,Dunakeszi,572,481
2021,Dunakeszi,648,471
2022,Dunakeszi,821,265
2023,Dunakeszi,864,301
2024,Dunakeszi,909,549
2015,Érd,207,335
2016,Érd,230,365
2017,Érd,273,365
2018,Érd,315,332
2019,Érd,389,361
2020,Érd,438,316
2021,Érd,510,322
2022,Érd,677,198
2023,Érd,745,197
2024,Érd,799,271
2015,Göd,222,118
2016,Göd,254,148
2017,Göd,315,156
2018,Göd,351,139
2019,Göd,430,130
2020,Göd,470,101
2021,Göd,572,111
2022,Göd,722,75
2023,Göd,726,51
2024,Göd,807,94
2015,Gödöllő,204,316
2016,Gödöllő,242,320
2017,Gödöllő,280,279
2018,Gödöllő,333,306
2019,Gödöllő,401,245
2020,Gödöllő,451,214
2021,Gödöllő,514,188
2022,Gödöllő,611,149
2023,Gödöllő,692,156
2024,Gödöllő,727,200
2015,Gyál,179,58
2016,Gyál,200,49
2017,Gyál,243,68
2018,Gyál,284,47
2019,Gyál,346,70
2020,Gyál,374,59
2021,Gyál,463,43
2022,Gyál,593,24
2023,Gyál,677,25
2024,Gyál,655,32
2015,Szentendre,252,237
2016,Szentendre,304,213
2017,Szentendre,344,232
2018,Szentendre,423,224
2019,Szentendre,498,200
2020,Szentendre,544,156
2021,Szentendre,629,180
2022,Szentendre,768,100
2023,Szentendre,838,110
2024,Szentendre,873,175
2015,Szigetszentmiklós,182,451
2016,Szigetszentmiklós,222,493
2017,Szigetszentmiklós,258,506
2018,Szigetszentmiklós,318,470
2019,Szigetszentmiklós,390,476
2020,Szigetszentmiklós,436,316
2021,Szigetszentmiklós,485,265
2022,Szigetszentmiklós,622,213
2023,Szigetszentmiklós,635,210
2024,Szigetszentmiklós,712,392
2015,Vác,182,468
2016,Vác,208,469
2017,Vác,246,488
2018,Vác,296,463
2019,Vác,384,404
2020,Vác,426,350
2021,Vác,464,351
2022,Vác,599,272
2023,Vác,637,294
2024,Vác,698,434
