ev,idosor,kozter,megye,szint,szoras,telaz,tobbl_ar,tobbl_db,total_ar,total_db,cshaz_ar,cshaz_db,panel_ar,panel_db
2020,0,Ág utca,01,2,13,09566,1006,3,1006,3,,,,
2015,1,Aladár utca,01,2,17,09566,409,14,409,14,,,,
2016,1,Aladár utca,01,2,16,09566,527,5,527,5,,,,
2017,1,Aladár utca,01,2,26,09566,542,5,542,5,,,,
2018,1,Aladár utca,01,2,17,09566,691,6,691,6,,,,
2019,1,Aladár utca,01,2,32,09566,717,5,717,5,,,,
2020,1,Aladár utca,01,2,10,09566,867,5,867,5,,,,
2021,1,Aladár utca,01,2,30,09566,1022,8,1022,8,,,,
2022,1,Aladár utca,01,2,27,09566,1298,6,1298,6,,,,
2023,1,Aladár utca,01,2,22,09566,1086,5,1086,5,,,,
2024,1,Aladár utca,01,2,29,09566,1238,7,1238,7,,,,
2015,1,Alagút utca,01,2,17,09566,376,3,376,3,,,,
2016,1,Alagút utca,01,2,38,09566,443,4,443,4,,,,
2017,1,Alagút utca,01,2,18,09566,435,7,435,7,,,,
2018,1,Alagút utca,01,2,21,09566,576,7,576,7,,,,
2019,1,Alagút utca,01,2,17,09566,707,3,707,3,,,,
2022,1,Alagút utca,01,2,63,09566,880,3,880,3,,,,
2024,1,Alagút utca,01,2,26,09566,1165,5,1165,5,,,,
2015,1,Alsóhegy utca,01,2,32,09566,390,4,390,4,,,,
2020,1,Alsóhegy utca,01,2,11,09566,876,5,876,5,,,,
2021,1,Alsóhegy utca,01,2,16,09566,873,3,873,3,,,,
2022,1,Alsóhegy utca,01,2,11,09566,1051,6,1051,6,,,,
2023,0,Aranyhal utca,01,2,25,09566,1114,3,1114,3,,,,
2015,1,Attila út,01,2,32,09566,320,107,320,107,,,,
2016,1,Attila út,01,2,30,09566,436,77,436,77,,,,
2017,1,Attila út,01,2,27,09566,531,64,531,64,,,,
2018,1,Attila út,01,2,24,09566,644,85,644,85,,,,
2019,1,Attila út,01,2,23,09566,743,63,743,63,,,,
2020,1,Attila út,01,2,21,09566,772,52,772,52,,,,
2021,1,Attila út,01,2,23,09566,853,86,853,86,,,,
2022,1,Attila út,01,2,21,09566,1017,61,1017,61,,,,
2023,1,Attila út,01,2,16,09566,1078,37,1078,37,,,,
2024,1,Attila út,01,2,26,09566,1164,61,1164,61,,,,
2015,1,Avar utca,01,2,33,09566,348,7,348,7,,,,
2016,1,Avar utca,01,2,20,09566,394,6,394,6,,,,
2019,1,Avar utca,01,2,26,09566,586,3,586,3,,,,
2021,1,Avar utca,01,2,6,09566,845,4,845,4,,,,
2022,1,Avar utca,01,2,17,09566,968,4,968,4,,,,
2024,1,Avar utca,01,2,9,09566,1006,4,1006,4,,,,
2015,1,Batthyány utca,01,2,23,09566,348,51,348,51,,,,
2016,1,Batthyány utca,01,2,28,09566,458,46,458,46,,,,
2017,1,Batthyány utca,01,2,31,09566,519,35,519,35,,,,
2018,1,Batthyány utca,01,2,26,09566,561,46,561,46,,,,
2019,1,Batthyány utca,01,2,21,09566,761,25,761,25,,,,
2020,1,Batthyány utca,01,2,14,09566,842,13,842,13,,,,
2021,1,Batthyány utca,01,2,15,09566,823,18,823,18,,,,
2022,1,Batthyány utca,01,2,29,09566,945,29,945,29,,,,
2023,1,Batthyány utca,01,2,22,09566,1160,20,1160,20,,,,
2024,1,Batthyány utca,01,2,18,09566,1187,28,1187,28,,,,
2015,1,Bem rakpart,01,2,31,09566,427,5,427,5,,,,
2016,1,Bem rakpart,01,2,46,09566,507,6,507,6,,,,
2017,1,Bem rakpart,01,2,26,09566,754,5,754,5,,,,
2018,1,Bem rakpart,01,2,41,09566,921,5,921,5,,,,
2020,1,Bem rakpart,01,2,27,09566,821,4,821,4,,,,
2021,1,Bem rakpart,01,2,26,09566,1062,4,1062,4,,,,
2022,1,Bem rakpart,01,2,24,09566,1333,6,1333,6,,,,
2023,1,Bem rakpart,01,2,56,09566,1413,4,1413,4,,,,
2024,1,Bem rakpart,01,2,35,09566,1611,3,1611,3,,,,
2017,1,Bérc utca,01,2,31,09566,1070,3,1070,3,,,,
2018,1,Bérc utca,01,2,55,09566,1185,3,1185,3,,,,
2019,1,Bérc utca,01,2,8,09566,962,4,962,4,,,,
2016,1,Berényi utca,01,2,17,09566,527,3,527,3,,,,
2020,1,Berényi utca,01,2,13,09566,998,3,998,3,,,,
2021,1,Berényi utca,01,2,19,09566,877,4,877,4,,,,
2022,1,Berényi utca,01,2,33,09566,1095,3,1095,3,,,,
2015,1,Csalogány utca,01,2,30,09566,395,20,395,20,,,,
2016,1,Csalogány utca,01,2,31,09566,456,19,456,19,,,,
2017,1,Csalogány utca,01,2,23,09566,589,18,589,18,,,,
2018,1,Csalogány utca,01,2,23,09566,725,18,725,18,,,,
2019,1,Csalogány utca,01,2,27,09566,856,23,856,23,,,,
2020,1,Csalogány utca,01,2,24,09566,758,15,758,15,,,,
2021,1,Csalogány utca,01,2,18,09566,903,23,903,23,,,,
2022,1,Csalogány utca,01,2,23,09566,1007,10,1007,10,,,,
2023,1,Csalogány utca,01,2,16,09566,1015,10,1015,10,,,,
