street_id,recnum,telaz,kozter,ev,rel_szoras,total_ar,total_db,kerulet_nev,kerulet
8,1,02112,529. utca,2017,30,202,3,Budapest 17. kerület,17
8,2,02112,529. utca,2022,46,756,3,Budapest 17. kerület,17
22,1,02112,Baross utca,2018,39,238,5,Budapest 17. kerület,17
22,2,02112,Baross utca,2021,33,550,3,Budapest 17. kerület,17
22,3,02112,Baross utca,2023,10,644,3,Budapest 17. kerület,17
29,1,02112,Bártfai utca,2015,27,250,5,Budapest 17. kerület,17
29,2,02112,Bártfai utca,2019,47,407,5,Budapest 17. kerület,17
29,3,02112,Bártfai utca,2020,32,490,4,Budapest 17. kerület,17
29,4,02112,Bártfai utca,2023,20,797,3,Budapest 17. kerület,17
61,1,02112,Forrásmajori utca,2022,12,965,3,Budapest 17. kerület,17
61,2,02112,Forrásmajori utca,2023,16,1002,6,Budapest 17. kerület,17
61,3,02112,Forrásmajori utca,2024,9,1213,3,Budapest 17. kerület,17
72,1,02112,Gyökér utca,2015,14,214,14,Budapest 17. kerület,17
72,2,02112,Gyökér utca,2016,18,255,19,Budapest 17. kerület,17
72,3,02112,Gyökér utca,2017,21,260,6,Budapest 17. kerület,17
72,4,02112,Gyökér utca,2018,15,425,7,Budapest 17. kerület,17
72,5,02112,Gyökér utca,2019,18,475,18,Budapest 17. kerület,17
72,6,02112,Gyökér utca,2020,15,443,5,Budapest 17. kerület,17
72,7,02112,Gyökér utca,2021,16,528,10,Budapest 17. kerület,17
72,8,02112,Gyökér utca,2022,24,669,7,Budapest 17. kerület,17
72,9,02112,Gyökér utca,2023,12,820,4,Budapest 17. kerület,17
72,10,02112,Gyökér utca,2024,7,736,7,Budapest 17. kerület,17
106,1,02112,Kutassy Ágoston utca,2015,33,286,3,Budapest 17. kerület,17
124,1,02112,Nemesbük utca,2016,34,169,4,Budapest 17. kerület,17
124,2,02112,Nemesbük utca,2020,33,513,3,Budapest 17. kerület,17
128,1,02112,Perec utca,2017,34,310,3,Budapest 17. kerület,17
128,2,02112,Perec utca,2020,30,363,5,Budapest 17. kerület,17
128,3,02112,Perec utca,2022,35,530,3,Budapest 17. kerület,17
128,4,02112,Perec utca,2024,40,734,3,Budapest 17. kerület,17
129,1,02112,Peregi út,2015,26,230,3,Budapest 17. kerület,17
129,2,02112,Peregi út,2016,27,190,3,Budapest 17. kerület,17
129,3,02112,Peregi út,2017,27,234,3,Budapest 17. kerület,17
129,4,02112,Peregi út,2019,26,516,4,Budapest 17. kerület,17
129,5,02112,Peregi út,2020,35,340,3,Budapest 17. kerület,17
154,1,02112,Székicsér utca,2020,37,619,3,Budapest 17. kerület,17
154,2,02112,Székicsér utca,2021,53,388,3,Budapest 17. kerület,17
162,1,02112,Tiszanána utca,2018,19,274,3,Budapest 17. kerület,17
162,2,02112,Tiszanána utca,2024,31,606,3,Budapest 17. kerület,17
