id,nev,megye,tipus
01,Budapest,01,0
02,Baranya vármegye,02,0
03,Bács-Kiskun vármegye,03,0
04,Békés vármegye,04,0
05,Borsod-Abaúj-Zemplén vármegye,05,0
06,Csongrád-Csanád vármegye,06,0
07,Fejér vármegye,07,0
08,Győr-Moson-Sopron vármegye,08,0
09,Hajdú-Bihar vármegye,09,0
10,Heves vármegye,10,0
11,Komárom-Esztergom vármegye,11,0
12,Nógrád vármegye,12,0
13,Pest vármegye,13,0
14,Somogy vármegye,14,0
15,Szabolcs-Szatmár-Bereg vármegye,15,0
16,Jász-Nagykun-Szolnok vármegye,16,0
17,Tolna vármegye,17,0
18,Vas vármegye,18,0
19,Veszprém vármegye,19,0
20,Zala vármegye,20,0
01508,Ipolyszög,12,4
01526,Somoskőújfalu,12,4
02015,Ráckeresztúr,07,4
02024,Martonyi,05,4
02033,Kakasd,17,4
02042,Narda,18,4
02051,Sávoly,14,4
02060,Gönyű,08,4
02079,Dunaremete,08,4
02088,Mánd,15,4
02097,Gutorfölde,20,4
02103,Maróc,20,4
02112,Budapest 17. kerület,01,5
02121,Csanádalberti,06,4
02130,Mihályfa,20,4
02149,Foktő,03,4
02158,Muhi,05,4
02167,Komádi,09,3
02185,Csopak,19,4
02194,Nemesvámos,19,4
02200,Isztimér,07,4
02219,Balatonfűzfő,19,3
02228,Martonfa,02,4
02237,Vág,08,4
02246,Vát,18,4
02264,Vásárosdombó,02,4
02273,Abaújvár,05,4
02282,Hejőkürt,05,4
02291,Tiszabábolna,05,4
02307,Kaba,09,3
02316,Etyek,07,4
02325,Baktalórántháza,15,3
02343,Kincsesbánya,07,4
02352,Újkígyós,04,3
02361,Nagybajcs,08,4
02370,Rád,13,4
02389,Bercel,12,4
02404,Surd,20,4
02413,Kisbabot,08,4
02422,Hegyesd,19,4
02431,Bük,18,3
02440,Szatta,18,4
02459,Vajta,07,4
02468,Hegymeg,05,4
02477,Csombárd,14,4
02486,Zalacséb,20,4
02495,Nagycenk,08,4
02501,Kisunyom,18,4
02510,Kocs,11,4
02529,Várfölde,20,4
02547,Sumony,02,4
02556,Mórichida,08,4
02565,Döbrököz,17,4
02574,Kenéz,18,4
02583,Csesztreg,20,4
02608,Zalaszentiván,20,4
02617,Sopronnémeti,08,4
02626,Martfű,16,3
02635,Öttevény,08,4
02644,Alibánfa,20,4
02653,Nagyharsány,02,4
02662,Milejszeg,20,4
02671,Kántorjánosi,15,4
02680,Békésszentandrás,04,4
02699,Sárkeszi,07,4
02705,Pálmonostora,03,4
02714,Tótvázsony,19,4
02723,Sáregres,07,4
02741,Fáj,05,4
02750,Vértesacsa,07,4
02769,Tápiószőlős,13,4
02778,Ludányhalászi,12,4
02787,Nemesgulács,19,4
02796,Nak,17,4
02802,Enying,07,3
02811,Miszla,17,4
02820,Abaújlak,05,4
02839,Nemeskocs,18,4
02848,Felsőzsolca,05,3
02857,Geresdlak,02,4
02866,Oszlár,05,4
02875,Sáta,05,4
02884,Vasalja,18,4
02893,Söréd,07,4
02909,Magyarszentmiklós,20,4
02918,Balmazújváros,09,3
02927,Duka,18,4
02936,Dudar,19,4
02945,Biri,15,4
02954,Felsőszentiván,03,4
02963,Bükkszék,10,4
02972,Zalasárszeg,20,4
02981,Egerfarmos,10,4
